sheet_title,breakdown,scenario,series,unit,year,value
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2045,34.6
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2046,35.74
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2047,36.7
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2048,37.73
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2049,38.35
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Transportation Sector,Net Annual Energy Demand (TWh),2050,39.04
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2027,5.57
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2028,5.63
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2029,5.66
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2030,5.7
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2031,5.74
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2032,5.79
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2033,5.81
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2034,5.85
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2035,5.89
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2036,5.96
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2037,5.99
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2038,6.03
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2039,6.07
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2040,6.14
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2041,6.17
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2042,6.21
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2043,6.25
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2044,6.32
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2045,6.34
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2046,6.39
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2047,6.44
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2048,6.51
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2049,6.54
Figure 1: Reference Scenario Demand Forecast by Sector,sector,Reference,Other Electricity Demand,Net Annual Energy Demand (TWh),2050,6.59
